income,credit_score,employment_years,loan_amount,loan_term,age,existing_debts,num_dependents,education,own_property,debt_to_income,loan_to_income,approved,avg_response_time,num_edits,inconsistency_score,session_duration,num_page_switches,behavior_score,fraud_score,is_fraud
57964.98,612,1.02,20821.04,36,46,4291.7,0,2,0,0.9747,0.3592,1,11.824,4,0.071,26.55,0,0.0836,3.6,0
27667.36,645,1.01,38319.79,60,43,8640.17,2,2,1,4.0799,1.385,0,7.428,4,0.0896,31.76,1,0.0921,18.22,0
74068.69,528,2.79,24517.15,12,37,8377.88,1,2,0,1.4368,0.331,0,11.507,0,0.2628,36.02,0,0.0753,2.8,0
82232.89,515,3.0,61161.41,12,47,52856.11,1,2,0,7.8916,0.7438,0,19.753,2,0.2454,33.87,1,0.1133,22.79,0
16763.02,656,5.95,29952.88,48,38,23770.49,1,2,1,17.4452,1.7868,0,2.476,1,0.3729,127.14,0,0.1093,27.1,0
23951.86,571,4.39,24945.77,12,33,3279.36,2,2,1,1.8929,1.0415,0,46.144,2,0.172,40.19,1,0.1169,11.83,0
52591.63,509,0.02,61859.15,60,21,4821.95,1,3,1,1.3825,1.1762,0,7.47,1,0.2592,157.44,0,0.085,9.9,0
41194.77,726,19.52,38112.98,36,50,0.0,1,1,1,0.222,0.9252,1,6.64,2,0.2818,51.5,0,0.104,5.78,0
48569.9,583,2.14,54366.89,24,35,4062.57,4,2,0,1.2724,1.1194,0,4.527,1,0.0611,37.82,1,0.0406,0.08,0
30663.42,743,1.27,69329.76,120,32,6191.85,2,2,1,2.9658,2.261,0,24.338,1,0.3821,36.31,0,0.1298,9.34,0
79512.45,642,0.97,27147.21,36,35,5164.27,0,1,1,0.8613,0.3414,0,19.565,5,0.0801,78.39,1,0.1138,0.0,0
75190.91,666,3.93,33686.79,12,53,0.0,0,3,1,0.1075,0.448,1,31.746,0,0.141,25.18,0,0.0617,2.05,0
50833.81,620,2.36,56867.12,12,47,0.0,1,1,0,0.2685,1.1187,0,23.55,0,0.1547,45.36,0,0.0583,3.78,0
91124.56,401,1.38,6681.34,36,33,21604.63,0,2,0,2.8627,0.0733,0,13.785,3,0.4262,20.49,0,0.16,23.62,0
63394.36,537,10.45,30756.33,48,42,4240.75,0,2,0,0.9192,0.4852,0,14.574,1,0.1229,86.86,0,0.0569,0.69,0
30558.22,628,2.4,28391.25,48,50,1961.0,1,2,1,0.9931,0.9291,0,24.409,3,0.023,79.87,1,0.0756,0.0,0
60042.8,672,0.46,41903.9,48,40,5328.02,1,3,1,1.2323,0.6979,0,5.228,2,0.1918,40.05,1,0.0878,14.84,0
28929.43,478,9.19,19521.63,12,38,4811.41,2,2,0,2.1577,0.6748,0,10.601,3,0.0453,30.21,1,0.0697,0.0,0
79471.02,635,3.31,66972.73,24,21,28347.97,0,2,0,4.4828,0.8427,0,15.25,2,0.0606,80.37,1,0.0634,34.37,0
47693.04,538,2.69,20342.22,12,50,16623.64,2,2,1,4.285,0.4265,0,7.503,2,0.1442,13.73,0,0.0703,21.8,0
44281.65,661,5.14,24382.93,48,25,24420.6,2,3,1,6.75,0.5506,0,20.357,4,0.2069,62.91,0,0.1247,17.23,0
33707.94,638,0.19,21335.63,12,21,18364.78,3,3,0,6.6898,0.633,0,8.172,2,0.3347,27.37,1,0.126,26.92,0
96028.25,706,0.21,73088.27,84,21,1515.55,2,3,1,0.3721,0.7611,1,19.529,0,0.1586,47.3,1,0.0634,0.0,0
45026.6,736,4.25,8470.76,48,27,3925.85,4,3,1,1.0914,0.1881,0,12.423,1,0.1987,33.56,1,0.0815,5.63,0
38731.93,681,7.54,104974.42,24,42,2266.92,0,2,1,1.3528,2.7103,0,16.333,1,0.0215,92.27,0,0.033,0.0,0
40389.56,717,0.18,85621.43,36,49,0.0,1,1,1,0.5088,2.1199,0,3.034,1,0.172,30.07,0,0.0595,8.61,0
65694.47,608,1.54,22761.77,12,40,0.0,4,3,1,0.0832,0.3465,1,5.306,3,0.1911,90.26,1,0.1017,17.4,0
59933.7,850,11.95,64055.2,12,56,11367.95,3,1,1,2.5326,1.0688,0,34.566,1,0.0786,21.46,0,0.0625,4.64,0
61512.95,530,11.69,35759.04,60,32,0.0,2,0,0,0.1395,0.5813,0,12.825,1,0.1679,21.32,1,0.0742,13.09,0
62127.97,592,5.86,96219.99,48,34,5500.31,1,2,1,1.4341,1.5487,0,10.287,2,0.4938,17.23,1,0.1675,8.31,0
159198.35,721,6.36,60957.06,12,21,3900.65,3,2,0,0.3859,0.3829,1,25.007,4,0.0294,33.34,2,0.0992,5.86,0
39201.56,707,20.81,136699.99,84,30,0.0,1,2,0,0.8369,3.4871,0,20.869,1,0.059,41.78,0,0.0461,4.77,0
36984.96,683,0.97,11903.7,120,21,8849.55,1,2,1,2.9485,0.3219,0,10.594,1,0.3755,14.64,0,0.1167,4.24,0
31332.93,700,5.25,37211.55,60,22,14613.93,4,3,1,5.8819,1.1876,0,6.381,1,0.2565,126.25,1,0.091,26.52,0
68788.28,452,4.84,10714.28,120,43,11565.78,1,2,0,2.055,0.1558,0,58.37,2,0.6524,16.78,2,0.2547,16.13,0
91211.36,783,1.41,23454.93,60,21,16345.56,3,3,0,2.2122,0.2571,0,19.828,2,0.2307,42.39,0,0.1022,4.41,0
46042.9,621,4.75,141814.38,120,21,12570.04,1,3,1,4.0153,3.08,0,2.897,1,0.1169,14.07,1,0.0531,27.48,0
30881.54,752,6.77,44548.35,48,21,20677.12,2,3,1,8.381,1.4426,0,22.501,3,0.2055,26.81,0,0.1121,22.31,0
31148.93,456,1.15,62314.65,84,45,15195.93,1,2,1,6.3343,2.0005,0,21.183,0,0.2194,24.94,0,0.0725,27.95,0
70110.37,663,1.02,45892.64,84,55,5233.72,2,1,1,1.0529,0.6546,0,22.017,2,0.171,36.73,0,0.0891,4.44,0
73776.08,589,14.09,44037.65,36,36,12281.74,3,1,1,2.1409,0.5969,0,7.82,1,0.1906,75.26,2,0.0832,6.38,0
66087.5,691,1.53,23399.59,12,47,10539.51,2,1,1,1.9987,0.3541,0,38.499,2,0.2653,41.09,1,0.1339,0.0,0
33995.03,668,4.18,20730.94,36,24,6891.58,2,2,0,2.579,0.6098,0,5.837,1,0.2272,37.04,1,0.0832,10.18,0
55697.4,672,0.62,22995.35,24,50,7985.05,1,1,1,1.8195,0.4129,0,30.86,3,0.4443,29.74,1,0.1863,10.97,0
52269.96,544,3.41,5570.52,120,29,19068.94,0,1,0,4.4034,0.1066,0,14.136,2,0.1576,73.06,2,0.0942,21.22,0
55286.21,634,6.34,31153.28,60,44,12832.89,3,1,1,2.9206,0.5635,0,46.653,3,0.0411,32.72,1,0.0986,25.68,0
79164.7,623,1.01,38403.45,120,36,17872.58,4,2,0,2.8256,0.4851,0,7.922,1,0.1537,29.08,0,0.059,5.23,0
55435.62,684,0.61,21971.62,36,21,8384.7,0,2,1,1.9101,0.3963,0,19.925,3,0.0121,39.47,1,0.0691,0.0,0
71210.99,729,6.93,30183.69,48,27,0.0,3,3,0,0.1017,0.4239,1,22.604,1,0.4455,26.79,1,0.1517,11.06,0
50877.11,653,8.69,46225.26,24,38,15638.29,1,0,1,3.9065,0.9086,0,8.371,3,0.0658,20.47,1,0.0729,16.75,0
57469.85,525,5.24,58402.94,48,21,0.0,1,2,1,0.2439,1.0162,0,11.129,2,0.1685,42.57,0,0.0794,5.46,0
69369.91,649,14.01,15084.51,12,40,0.0,0,0,1,0.0522,0.2175,1,7.749,4,0.0871,71.38,0,0.0842,0.21,0
21994.87,850,3.98,19602.17,36,21,0.0,2,1,1,0.2139,0.8912,1,16.552,2,0.6079,31.25,1,0.2013,11.31,0
41117.16,788,6.04,53606.39,120,42,3237.15,4,0,1,1.2577,1.3037,0,19.792,1,0.1887,43.63,2,0.0927,0.0,0
37846.55,372,1.71,48187.49,60,22,79039.0,0,2,1,25.3665,1.2732,0,8.603,0,0.0678,22.26,3,0.0466,46.07,1
34496.64,645,1.22,78736.27,84,41,33452.8,0,1,1,12.1847,2.2824,0,14.791,2,0.1626,21.22,1,0.0885,32.8,0
42136.59,723,8.34,76642.07,84,45,0.0,1,2,0,0.4365,1.8189,0,6.722,2,0.3527,18.69,1,0.1293,3.81,0
111548.83,623,2.71,157892.16,12,35,11868.45,3,0,1,1.6165,1.4155,0,7.079,3,0.1648,60.79,1,0.0966,11.19,0
30448.53,598,0.75,27165.48,48,36,5111.57,3,0,0,2.2286,0.8922,0,2.151,3,0.0711,40.42,0,0.0616,4.06,0
83495.92,615,2.17,91680.65,36,53,3159.05,1,3,1,0.7175,1.098,0,4.064,2,0.2079,66.64,0,0.0834,0.0,0
19427.05,689,2.55,18069.68,12,28,6779.71,2,3,0,4.411,0.9301,0,6.216,3,0.2593,74.39,0,0.112,16.96,0
40774.54,536,6.65,155769.77,24,31,4392.89,0,1,1,2.2097,3.8203,0,12.085,2,0.3353,46.13,1,0.1294,12.23,0
53611.25,746,13.56,44159.04,12,44,14865.17,1,3,1,3.525,0.8237,0,40.136,4,0.1028,14.55,2,0.1301,34.71,0
67671.63,634,0.61,46738.01,24,41,0.0,2,1,0,0.1658,0.6907,0,13.856,0,0.2108,51.07,0,0.0643,0.0,0
72487.88,555,21.97,62533.12,60,34,16778.43,0,1,0,2.9846,0.8627,0,11.913,1,0.3072,64.72,1,0.1082,8.76,0
75836.95,741,18.11,13616.18,24,23,9957.03,0,2,1,1.6186,0.1795,0,14.816,0,0.1194,39.76,0,0.0422,0.0,0
40465.35,500,2.52,16340.62,84,47,1925.53,0,2,1,0.6679,0.4038,0,3.349,0,0.1251,66.99,0,0.0341,8.63,0
38013.88,590,8.69,35425.52,36,23,6998.63,4,1,1,2.4329,0.9319,0,11.486,3,0.1786,72.0,1,0.1037,0.0,0
78581.12,588,4.48,41139.24,12,62,11264.67,1,2,0,1.8459,0.5235,0,5.27,2,0.5405,82.36,1,0.175,8.09,0
44125.04,832,1.23,127218.33,60,23,10235.9,1,1,1,3.4757,2.8831,0,6.769,2,0.1009,23.48,1,0.0664,23.18,0
24303.42,578,2.95,17730.12,24,24,5057.18,1,3,1,2.6721,0.7295,0,62.231,1,0.0261,48.05,1,0.0799,2.5,0
26283.38,446,0.87,89422.31,120,40,5342.69,4,1,1,3.2558,3.4022,0,52.999,1,0.4773,79.97,1,0.185,48.08,1
29563.66,587,3.11,27649.61,48,43,0.0,0,0,0,0.2245,0.9353,0,25.294,2,0.1939,39.13,0,0.0976,11.59,0
64436.69,680,4.09,27400.3,12,26,0.0,3,1,0,0.1021,0.4252,1,17.489,2,0.0613,89.9,0,0.0579,2.38,0
53015.21,710,0.24,29540.05,24,55,7905.27,1,1,0,1.9231,0.5572,0,16.913,1,0.1519,61.82,0,0.0661,1.6,0
